"Building No","State","Building","Floor","Workpoints","NLA (from lease)","GLA","Calculated Area","Bill Vacant Space","Cost Centre","Notes","Sequence"
"45065158","WA","109 St Georges Terrace, Perth","6","49","565.000000000","565.000000000","667.198916100000000000","","","","6"
"45065158","WA","109 St Georges Terrace, Perth","7","49","565.000000000","565.000000000","673.256147625000000000","","","","7"
"45065158","WA","109 St Georges Terrace, Perth","8","52","567.000000000","567.000000000","720.513632250000000000","","","","8"
"45065158","WA","109 St Georges Terrace, Perth","9","49","565.000000000","565.000000000","718.269552000000000000","","","","9"
"45065158","WA","109 St Georges Terrace, Perth","11","55","1092.000000000","1092.000000000","716.142692250000000000","","","","11"
"45065158","WA","109 St Georges Terrace, Perth","12","49","565.000000000","565.000000000","700.656835500000000000","","","","12"
"45065158","WA","109 St Georges Terrace, Perth","13","49","572.000000000","572.000000000","705.674380500000000000","","","","13"
"45065158","WA","109 St Georges Terrace, Perth","14","55","570.000000000","570.000000000","708.004983375000000000","","","","14"
"45065158","WA","109 St Georges Terrace, Perth","15","0","592.000000000","592.000000000","683.888141250000000000","","","","15"
"45065158","WA","109 St Georges Terrace, Perth","16","48","575.000000000","575.000000000","712.713768750000000000","","","","16"
"45065158","WA","109 St Georges Terrace, Perth","17","49","565.000000000","565.000000000","708.982804125000000000","","","","17"
"45065188","WA","110 Erindale Rd","G","25","313.000000000","313.000000000","324.490561875000000000","","","","0"
"","WA","130 Victoria Street","G","10","0.000000000","0.000000000","0.000000000000000000","","","","1"
"44100259","WA","152 St Georges Terrace, Perth","M","9","235.000000000","235.000000000","669.944077875000000000","","","","1"
"44100259","WA","152 St Georges Terrace, Perth","11","112","2098.000000000","2098.000000000","2260.064928375000000000","","","","11"
"44100259","WA","152 St Georges Terrace, Perth","12","25","272.000000000","272.000000000","2275.403979375000000000","","","","12"
"44101219","WA","355 Scarborough Beach Road Bdg A, Osborne Park","G","25","322.000000000","322.000000000","526.561800750000000000","","","","1"
"44400008","WA","355 Scarborough Beach Road Bdg C, Osborne Park ","2","105","1325.000000000","1325.000000000","1378.962735750000000000","","","","2"
"44400008","WA","355 Scarborough Beach Road Bdg C, Osborne Park ","4","109","1325.000000000","1325.000000000","1393.723504125000000000","","","","4"
"45065181","WA","38 Colliers Pass, Joondalup","G","260","2598.000000000","2598.000000000","3531.600475875000000000","","","","0"
"","WA","51-53 Kewdale Road","G","10","0.000000000","0.000000000","0.000000000000000000","","","","1"
"","WA","53 The Crescent","G","6","0.000000000","0.000000000","0.000000000000000000","","","","1"
